name,qty,pipecut,anneal_bs_prebend,anneal_ns_prebend,icing,rotbend,pressbend,anneal_bs_precalib,anneal_ns_precalib,vcalib,hcalib,buff_precut,mc_cut,buff_postcut,qc_check
BB105 ä‘ä«,50,1,,,,,,3,,2,,,2,2,2
BB201-3 3ï‚èïä«2,50,1,,,,,,3,,2,,,2,2,2
BH301M ä‘ä«,50,1,,,,,,3,,2,,,2,2,2
BH301M é}ä«1,50,1,,,,,,3,,2,,,2,2,2
BH301M é}ä«2,50,1,,,,,,3,,2,,,2,2,2
EP201 ä‘ä«,50,1,,,,,,3,,2,,,2,2,2
EP201-2 2ï‚èïä«,50,1,,,,,,3,,2,,,2,2,2
EP201-2 é}ä«1,50,1,,,,,,3,,2,,,2,2,2
HR567 é}ä«4,50,1,,,,,,3,,2,,,2,2,2
HR567 é}ä«4C,50,1,,,,,,3,,2,,,2,2,2
HR567 é}ä«4E,50,1,,,,,,3,,2,,,2,2,2
SL646 1î‘ã»ä«,50,1,3,,,1,,3,,,2,2,2,,2
EP321-2 4ï‚èïä«3,50,1,3,,,1,,3,,,2,2,2,,2
